Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
Grupo Energia Bogota SA ESP,GEBCB,2020/5/15,4.875,400000000,2030/5/15,BBB,CALLABLE,USD,CO,N
E.ON SE,EOANGR,2021/1/19,0.1,727278000,2028/12/19,BBB,CALLABLE,EUR,DE,N
Commerzbank AG,CMZB,2017/1/16,4,688113027,2027/3/30,BB+,AT MATURITY,EUR,DE,N
ABN AMRO Bank NV,ABNANV,2017/10/4,4.75,1176310000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,NL,N
Owl Rock Capital Corp,ORCC,2020/7/23,4.25,500000000,2026/1/15,BBB-,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2014/1/22,6.75,2000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
TransAlta Corp,TACN,2010/3/12,6.5,300000000,2040/3/15,BB+,AT MATURITY,USD,CA,N
Royal Bank of Canada,RY,2021/1/19,0.33923,700000000,2024/1/19,A+,AT MATURITY,USD,CA,N
American Tower Corp,AMT,2020/9/28,1.875,800000000,2030/10/15,BBB-,CALLABLE,USD,US,N
SoftBank Group Corp,SOFTBK,2015/7/28,6,1000000000,2025/7/30,NR,CALLABLE,USD,JP,N
Fairfax Financial Holdings Ltd,FFHCN,2020/10/23,4.625,650000000,2030/4/29,BBB-,CALLABLE,USD,CA,N
B2Holding ASA,BTWO,2017/11/14,4.25,235632000,2022/11/14,#N/A N/A,CALLABLE,EUR,NO,N
HSBC Holdings PLC,HSBC,2016/6/1,6.875,2000000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,GB,N
Emirates NBD Bank PJSC,EBIUH,2021/1/13,1.638,750000000,2026/1/13,A,AT MATURITY,USD,AE,N
Takeda Pharmaceutical Co Ltd,TACHEM,2020/7/9,2.05,2500000000,2030/3/31,BBB,CALLABLE,USD,JP,N
Alfa SAB de CV,ALFAA,2014/3/25,6.875,500000000,2044/3/25,BB+,CALLABLE,USD,MX,N
Commerzbank AG,CMZB,2020/9/1,0.375,895065000,2027/9/1,A-,AT MATURITY,EUR,DE,N
Societe Generale SA,SOCGEN,2016/9/13,7.375,1500000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,FR,N
AT&T Inc,T,2018/8/22,1.3995,3750000000,2024/6/12,BBB,AT MATURITY,USD,US,N
Telecom Argentina SA,TECOAR,2016/6/15,6.5,500000000,2021/6/15,CCC,CALLABLE,USD,AR,N
FirstEnergy Corp,FE,2017/6/21,4.4,1500000000,2027/7/15,BB,CALLABLE,USD,US,N
China Aoyuan Group Ltd,CAPG,2020/9/24,6.2,350000000,2026/3/24,B+,CALLABLE,USD,KY,N
Saudi Arabian Oil Co,ARAMCO,2019/4/16,3.5,3000000000,2029/4/16,A,AT MATURITY,USD,SA,N
Domtar Corp,UFS,2012/8/23,6.25,250000000,2042/9/1,BBB-,AT MATURITY,USD,US,N
Equinix Inc,EQIX,2019/11/18,3.2,1200000000,2029/11/18,BBB-,CALLABLE,USD,US,N
San Miguel Corp,SMCPM,2013/4/26,4.875,800000000,2023/4/26,#N/A N/A,CALLABLE,USD,PH,N
Raiffeisen Bank International AG,RBIAV,2018/1/24,4.5,619580000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,AT,N
Westpac Banking Corp,WSTP,2020/11/16,2.668,1500000000,2035/11/15,BBB+,CALLABLE,USD,AU,N
Western Asset Mortgage Capital Corp,WMC,2017/10/2,6.75,205000000,2022/10/1,#N/A N/A,CONV/CALL,USD,US,N
NRG Energy Inc,NRG,2020/12/2,3.375,500000000,2029/2/15,BB,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2016/6/30,0.162,1651504731,2023/6/30,NR,AT MATURITY,EUR,IT,N
Zhongliang Holdings Group Co Ltd,ZHLGHD,2020/6/29,8.75,250000000,2021/6/27,NR,AT MATURITY,USD,KY,N
PNC Financial Services Group Inc/The,PNC,2020/1/22,2.55,2000000000,2030/1/22,A-,CALLABLE,USD,US,N
Western Union Co/The,WU,2019/11/25,2.85,500000000,2025/1/10,BBB,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2019/2/20,4.875,1136600000,2029/2/20,BB+,CALLABLE,EUR,IT,N
Aptiv PLC,APTV,2019/3/14,4.35,300000000,2029/3/15,BBB,CALLABLE,USD,JE,N
Country Garden Holdings Co Ltd,COGARD,2017/7/25,4.75,700000000,2022/7/25,BBB-,CALLABLE,USD,KY,N
Lumen Technologies Inc,LUMN,2020/11/27,4.5,1000000000,2029/1/15,B+,CALLABLE,USD,US,N
Baidu Inc,BIDU,2020/4/7,3.075,600000000,2025/4/7,A-,CALLABLE,USD,KY,N
Grifols SA,GRFSM,2019/11/15,1.625,1000359850,2025/2/15,BB,CALLABLE,EUR,ES,N
Inter Pipeline Ltd,IPLCN,2019/11/19,6.625,528954300,2079/11/19,BB,CALLABLE,CAD,CA,N
ING Groep NV,INTNED,2020/5/26,2.125,1646460000,2031/5/26,BBB,CALLABLE,EUR,NL,N
Barclays PLC,BACR,2020/9/23,3.564,1000000000,2035/9/23,BBB-,CALLABLE,USD,GB,N
Banco BPM SpA,BAMIIM,2020/9/14,5,593345000,2030/9/14,BB-,CALLABLE,EUR,IT,N
WPX Energy Inc,WPX,2018/5/23,5.75,500000000,2026/6/1,BB+,CALLABLE,USD,US,N
ViacomCBS Inc,VIAC,2020/5/19,4.95,1000000000,2050/5/19,BBB,CALLABLE,USD,US,N
Country Garden Holdings Co Ltd,COGARD,2019/4/8,7.25,1350000000,2026/4/8,NR,CALLABLE,USD,KY,N
Electricite de France SA,EDF,2013/1/29,5.375,1685050000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,FR,N
Post Holdings Inc,POST,2020/2/26,4.625,1650000000,2030/4/15,B,CALLABLE,USD,US,N
Enbridge Inc,ENBCN,2018/3/1,6.25,850000000,2078/3/1,BB+,CALLABLE,USD,CA,N
AT&T Inc,T,2020/5/28,3.5,2500000000,2041/6/1,BBB,CALLABLE,USD,US,N
Valaris plc,VAL,2018/1/26,7.75,1000000000,2026/2/1,NR,CALLABLE,USD,GB,N
Biogen Inc,BIIB,2020/4/30,2.25,1500000000,2030/5/1,BBB+,CALLABLE,USD,US,N
AT&T Inc,T,2019/9/11,1.8,825547500,2039/9/14,BBB,CALLABLE,EUR,US,N
Akbank T.A.S.,AKBNK,2020/7/8,6.8,500000000,2026/2/6,B,AT MATURITY,USD,TR,N
H&E Equipment Services Inc,HEES,2020/12/14,3.875,1250000000,2028/12/15,B+,CALLABLE,USD,US,N
Jiayuan International Group Ltd,JIAYUA,2020/10/8,12.5,300000000,2023/4/8,NR,AT MATURITY,USD,KY,N
Frontier Communications Corp,FTR,2016/6/2,10.5,2183426000,2022/9/15,NR,CALLABLE,USD,US,N
Banco Santander SA,SANTAN,2019/6/19,0.25,1401900000,2024/6/19,A,AT MATURITY,EUR,ES,N
Navient Corp,NAVI,2003/7/21,5.625,750000000,2033/8/1,B+,AT MATURITY,USD,US,N
Saudi Arabian Oil Co,ARAMCO,2019/4/16,4.375,3000000000,2049/4/16,A,AT MATURITY,USD,SA,N
HSBC Holdings PLC,HSBC,2014/9/17,5.25,1942695000,#N/A Field Not Applicable,BBB-,PERP/CALL,EUR,GB,N
Goldman Sachs Group Inc/The,GS,2021/1/27,0.481,2250000000,2023/1/27,A-,CALLABLE,USD,US,N
Harley-Davidson Inc,HOG,2015/7/28,4.625,300000000,2045/7/28,BBB,CALLABLE,USD,US,N
Boeing Co/The,BA,2019/7/31,2.7,1000000000,2027/2/1,BBB-,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2015/1/23,3.5,2500000000,2025/1/23,A-,CALLABLE,USD,US,N
Southern Copper Corp,SCCO,2015/4/23,5.875,1500000000,2045/4/23,BBB,AT MATURITY,USD,US,N
Li & Fung Ltd,LIFUNG,2019/10/4,4.375,500000000,2024/10/4,BBB-,CALLABLE,USD,BM,N
Booking Holdings Inc,BKNG,2020/4/13,4.625,1500000000,2030/4/13,A-,CALLABLE,USD,US,N
ING Groep NV,INTNED,2019/9/10,5.75,1500000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,NL,N
State Street Corp,STT,2015/5/21,3.8135,750000000,#N/A Field Not Applicable,BBB+,PERP/CALL,USD,US,N
Tower Bersama Infrastructure Tbk PT,TBIGIJ,2021/1/20,2.75,300000000,2026/1/20,NR,CALLABLE,USD,ID,N
Coca-Cola Co/The,KO,2020/3/25,3.45,1250000000,2030/3/25,A+,AT MATURITY,USD,US,N
NVIDIA Corp,NVDA,2020/3/31,3.5,2000000000,2050/4/1,A-,CALLABLE,USD,US,N
Diebold Nixdorf Inc,DBD,2020/7/20,9.375,700000000,2025/7/15,B-,CALLABLE,USD,US,N
Berkshire Hathaway Inc,BRK,2016/3/15,3.125,2500000000,2026/3/15,AA,CALLABLE,USD,US,N
Dexin China Holdings Co Ltd,DEXICN,2020/12/3,9.95,350000000,2022/12/3,B-,AT MATURITY,USD,KY,N
Central China Real Estate Ltd,CENCHI,2019/11/7,7.9,200000000,2023/11/7,NR,CALLABLE,USD,KY,N
Seazen Group Ltd,FUTLAN,2021/1/13,4.45,300000000,2025/7/13,NR,CALLABLE,USD,KY,N
Chegg Inc,CHGG,2020/8/21,0,1000000000,2026/9/1,#N/A N/A,CONVERTIBLE,USD,US,N
MOL Hungarian Oil & Gas PLC,MOLHB,2020/10/8,1.5,764049000,2027/10/8,BBB-,CALLABLE,EUR,HU,N
Agile Group Holdings Ltd,AGILE,2018/7/18,8.5,600000000,2021/7/18,BB-,CALLABLE,USD,KY,N
Brighthouse Financial Inc,BHF,2018/4/25,3.7,1499000000,2027/6/22,BBB,CALLABLE,USD,US,N
Renault SA,RENAUL,2018/4/18,1,867321000,2024/4/18,BB,CALLABLE,EUR,FR,N
Scorpio Tankers Inc,STNG,2018/5/14,3,203500000,2022/5/15,#N/A N/A,CONVERTIBLE,USD,MH,N
Diamond Offshore Drilling Inc,DOFSQ,2017/8/15,7.875,500000000,2025/8/15,NR,CALLABLE,USD,US,N
Cisco Systems Inc/Delaware,CSCO,2009/11/17,5.5,2000000000,2040/1/15,A+,AT MATURITY,USD,US,N
Bank of America Corp,BAC,2018/5/22,3.419,5989208000,2028/12/20,A,CALLABLE,USD,US,N
CIFI Holdings Group Co Ltd,CIFIHG,2019/11/7,6.45,500000000,2024/11/7,BB-,CALLABLE,USD,KY,N
Stride Inc,LRN,2020/8/31,1.125,420000000,2027/9/1,#N/A N/A,CONVERTIBLE,USD,US,N
Chesapeake Energy Corp,CHK,2014/4/24,4.875,1500000000,2022/4/15,NR,CALLABLE,USD,US,N
Comstock Resources Inc,CRK,2020/6/23,9.75,800000000,2026/8/15,B-,CALLABLE,USD,US,N
Live Nation Entertainment Inc,LYV,2019/10/17,4.75,950000000,2027/10/15,B-,CALLABLE,USD,US,N
Deutsche Bank AG,DB,2015/3/17,1.125,1589295000,2025/3/17,BBB-,AT MATURITY,EUR,DE,N
Industrias Penoles SAB de CV,PENOMX,2020/8/6,4.75,500000000,2050/8/6,BBB,CALLABLE,USD,MX,N
QEP Resources Inc,QEP,2017/11/21,5.625,500000000,2026/3/1,B,CALLABLE,USD,US,N
BNP Paribas SA,BNP,2016/3/30,7.625,1500000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,FR,N
Intesa Sanpaolo SpA,ISPIM,2015/9/17,7.7,1000000000,#N/A Field Not Applicable,B+,PERP/CALL,USD,IT,N
Cencosud SA,CENSUD,2015/2/12,5.15,650000000,2025/2/12,BBB-,CALLABLE,USD,CL,N
SM Energy Co,SM,2018/8/20,6.625,500000000,2027/1/15,CCC+,CALLABLE,USD,US,N
adidas AG,ADSGR,2018/9/12,0.05,581455000,2023/9/12,#N/A N/A,CONVERTIBLE,EUR,DE,N
Saudi Arabian Oil Co,ARAMCO,2020/11/24,1.625,1000000000,2025/11/24,A,CALLABLE,USD,SA,N
Microsoft Corp,MSFT,2020/6/1,2.675,3750000000,2060/6/1,AAA,CALLABLE,USD,US,N
Petron Corp,PCORPM,2018/1/19,4.6,500000000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,USD,PH,N
Fomento Economico Mexicano SAB de CV,FEMSA,2016/3/18,1.75,1127490000,2023/3/20,A-,AT MATURITY,EUR,MX,N
LG Display Co Ltd,LGPHIL,2019/8/22,1.5,687800000,2024/8/22,#N/A N/A,CONV/PUT,USD,KR,N
JPMorgan Chase & Co,JPM,2013/1/25,3.2,2750000000,2023/1/25,A,AT MATURITY,USD,US,N
Jiayuan International Group Ltd,JIAYUA,2021/1/21,12.5,300000000,2023/7/21,B-,AT MATURITY,USD,KY,N
Heimstaden AB,HEIMST,2019/4/11,5.867,430780000,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,SEK,SE,N
Wells Fargo & Co,WFC,2015/9/28,3.55,2500000000,2025/9/29,A,AT MATURITY,USD,US,N
Danske Bank A/S,DANBNK,2020/9/2,1.5,592400000,2030/9/2,BBB,CALLABLE,EUR,DK,N
BNP Paribas SA,BNP,2021/1/26,2.824,1250000000,2041/1/26,BBB+,AT MATURITY,USD,FR,N
Logan Group Co Ltd,LOGPH,2017/5/23,5.25,450000000,2023/2/23,BB-,CALLABLE,USD,KY,N
Xerox Holdings Corp,XRX,2020/8/6,5.5,550000000,2028/8/15,BB,CALLABLE,USD,US,N
Norwegian Air Shuttle ASA,NASNO,2015/12/11,7.25,274855000,2022/11/11,#N/A N/A,CALLABLE,EUR,NO,N
Ence Energia y Celulosa SA,ENCSM,2018/3/5,1.25,197347200,2023/3/5,#N/A N/A,CONVERTIBLE,EUR,ES,N
Morgan Stanley,MS,2020/1/22,2.699,3500000000,2031/1/22,A,CALLABLE,USD,US,N
Citigroup Inc,C,2016/12/8,2.9,2550000000,2021/12/8,A-,CALLABLE,USD,US,N
Airbus SE,AIRFP,2020/6/9,1.375,1417837500,2026/6/9,A,CALLABLE,EUR,NL,N
UnitedHealth Group Inc,UNH,2020/5/18,2,1250000000,2030/5/15,A,AT MATURITY,USD,US,N
Delta Air Lines Inc,DAL,2017/3/14,3.625,1000000000,2022/3/15,BB,CALLABLE,USD,US,N
E-House China Enterprise Holdings Ltd,EHOUSE,2020/12/10,7.6,200000000,2023/6/10,NR,AT MATURITY,USD,KY,N
Schaeffler AG,SHAEFF,2020/10/12,2.75,885810000,2025/10/12,BB+,CALLABLE,EUR,DE,N
Sunac China Holdings Ltd,SUNAC,2020/1/10,6.5,540000000,2025/1/10,B+,CALLABLE,USD,KY,N
Netflix Inc,NFLX,2018/4/26,5.875,1900000000,2028/11/15,BB,AT MATURITY,USD,US,N
Unipol Gruppo SpA,UNIIM,2015/3/18,3,1065270000,2025/3/18,BB,AT MATURITY,EUR,IT,N
Liberty Latin America Ltd,LILAK,2019/6/28,2,402500000,2024/7/15,#N/A N/A,CONVERTIBLE,USD,BM,N
Service Properties Trust,SVC,2019/9/18,4.95,425000000,2029/10/1,BB-,CALLABLE,USD,US,N
Concho Resources Inc,CXO,2017/9/26,4.875,800000000,2047/10/1,A-,CALLABLE,USD,US,N
Halozyme Therapeutics Inc,HALO,2019/11/18,1.25,460000000,2024/12/1,#N/A N/A,CONVERTIBLE,USD,US,N
PDC Energy Inc,PDCE,2018/7/25,5.75,750000000,2026/5/15,BB-,CALLABLE,USD,US,N
Mastercard Inc,MA,2020/3/26,3.35,1500000000,2030/3/26,A+,CALLABLE,USD,US,N
Zhenro Properties Group Ltd,ZHPRHK,2020/1/14,7.875,290000000,2024/4/14,B,CALLABLE,USD,KY,N
Cigna Corp,CI,2020/3/16,2.4,1500000000,2030/3/15,BBB,CALLABLE,USD,US,N
Amgen Inc,AMGN,2017/1/10,4.663,3541381000,2051/6/15,BBB+,CALLABLE,USD,US,N
New Gold Inc,NGDCN,2020/6/24,7.5,400000000,2027/7/15,B-,CALLABLE,USD,CA,N
Bank of East Asia Ltd/The,BNKEA,2020/5/29,4,600000000,2030/5/29,BBB-,CALLABLE,USD,HK,N
New Fortress Energy Inc,NFE,2020/9/2,6.75,1250000000,2025/9/15,B+,CALLABLE,USD,US,N
Kaisa Group Holdings Ltd,KAISAG,2019/11/12,11.95,500000000,2023/11/12,B,CALLABLE,USD,KY,N
Natwest Group PLC,NWG,2017/5/15,1.66375,1500000000,2023/5/15,BBB+,CALLABLE,USD,GB,N
Phillips 66,PSX,2020/6/10,2.15,850000000,2030/12/15,BBB+,CALLABLE,USD,US,N
China Construction Bank Corp,CCB,2020/6/24,2.45,2000000000,2030/6/24,BBB+,CALLABLE,USD,CN,N
General Electric Co,GE,2020/4/22,3.45,1000000000,2027/5/1,BBB,CALLABLE,USD,US,N
Sunac China Holdings Ltd,SUNAC,2017/8/8,7.95,600000000,2022/8/8,B+,CALLABLE,USD,KY,N
BOC Aviation Ltd,BOCAVI,2020/4/29,3.25,1000000000,2025/4/29,A-,CALLABLE,USD,SG,N
Sherritt International Corp,SCN,2020/8/31,10.75,60598633.5,2029/8/31,#N/A N/A,CALLABLE,CAD,CA,N
HollyFrontier Corp,HFC,2016/3/22,5.875,1000000000,2026/4/1,BBB-,CALLABLE,USD,US,N
Square Inc,SQ,2020/11/13,0.25,575000000,2027/11/1,#N/A N/A,CONVERTIBLE,USD,US,N
Walmart Inc,WMT,2018/6/27,4.05,3000000000,2048/6/29,AA,CALLABLE,USD,US,N
Citigroup Inc,C,2016/10/21,3.2,3000000000,2026/10/21,A-,CALLABLE,USD,US,N
Telefonaktiebolaget LM Ericsson,ERICB,2012/5/9,4.125,1000000000,2022/5/15,BB+,AT MATURITY,USD,SE,N
Grand City Properties SA,GYCGR,2020/12/9,1.5,845068000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,LU,N
McDonald's Corp,MCD,2019/8/12,2.625,1000000000,2029/9/1,BBB+,CALLABLE,USD,US,N
Occidental Petroleum Corp,OXY,2019/9/18,6.45,1734194000,2036/9/15,BB-,AT MATURITY,USD,US,N
Boeing Co/The,BA,2020/5/4,5.04,2000000000,2027/5/1,BBB-,CALLABLE,USD,US,N
International Business Machines Corp,IBM,2019/5/15,4.25,3000000000,2049/5/15,A,AT MATURITY,USD,US,N
EnLink Midstream LLC,ENLC,2020/12/17,5.625,500000000,2028/1/15,BB,CALLABLE,USD,US,N
Hudbay Minerals Inc,HBMCN,2020/9/23,6.125,600000000,2029/4/1,B,CALLABLE,USD,CA,N
LANXESS AG,LXSGR,2016/12/6,4.5,535595000,2076/12/6,BB+,CALLABLE,EUR,DE,N
TMB Bank PCL,TMBTB,2019/12/2,4.9,400000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,TH,N
EnBW Energie Baden-Wuerttemberg AG,ENBW,2014/3/18,3.625,1392190000,2076/4/2,BBB-,CALLABLE,EUR,DE,N
Standard Chartered PLC,STANLN,2019/11/12,3.516,1000000000,2030/2/12,BBB,CALLABLE,USD,GB,N
Citigroup Inc,C,2020/10/30,0.776,2500000000,2024/10/30,A-,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2011/7/27,5.25,3750000000,2021/7/27,A-,AT MATURITY,USD,US,N
Cencosud SA,CENSUD,2017/7/17,4.375,1000000000,2027/7/17,BBB-,CALLABLE,USD,CL,N
PNC Financial Services Group Inc/The,PNC,2011/7/27,6.75,1000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Union Pacific Corp,UNP,2020/1/31,3.25,1750000000,2050/2/5,BBB+,CALLABLE,USD,US,N
Casino Guichard Perrachon SA,COFP,2014/8/5,4.048,1203237000,2026/8/5,B-,CALLABLE,EUR,FR,N
Viatris Inc,VTRS,2020/6/22,3.85,1500000000,2040/6/22,BBB-,CALLABLE,USD,US,N
Fresenius SE & Co KGaA,FREGR,2014/2/11,4,614200500,2024/2/1,BBB-,AT MATURITY,EUR,DE,N
Takeda Pharmaceutical Co Ltd,TACHEM,2020/7/9,2,1129070000,2040/7/9,BBB,CALLABLE,EUR,JP,N
MDC Holdings Inc,MDC,2013/1/10,6,500000000,2043/1/15,BB+,CALLABLE,USD,US,N
Bristol-Myers Squibb Co,BMY,2020/7/15,5,1958923000,2045/8/15,A,CALLABLE,USD,US,N
AT&T Inc,T,2017/2/9,4.25,2000000000,2027/3/1,BBB,CALLABLE,USD,US,N
Daimler AG,DAIGR,2019/8/8,0.375,1120510000,2026/11/8,BBB+,AT MATURITY,EUR,DE,N
Bank of East Asia Ltd/The,BNKEA,2019/9/19,5.875,650000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,HK,N
Bank of America Corp,BAC,2018/5/22,3.004,5991837000,2023/12/20,A,CALLABLE,USD,US,N
Grifols SA,GRFSM,2019/11/15,2.25,851134900,2027/11/15,BB,CALLABLE,EUR,ES,N
Assicurazioni Generali SpA,ASSGEN,2014/5/2,4.125,1386380000,2026/5/4,BBB-,AT MATURITY,EUR,IT,N
Chemours Co/The,CC,2018/6/6,4,529960500,2026/5/15,B,CALLABLE,EUR,US,N
Mercialys SA,MERYFP,2020/7/7,4.625,338709000,2027/7/7,NR,CALLABLE,EUR,FR,N
Turning Point Brands Inc,TPB,2019/7/30,2.5,172500000,2024/7/15,#N/A N/A,CONVERTIBLE,USD,US,N
Howard Hughes Corp/The,HHC,2017/3/16,5.375,1000000000,2025/3/15,BB-,CALLABLE,USD,US,N
Casino Guichard Perrachon SA,COFP,2014/3/7,4.498,1248741000,2024/3/7,B-,CALLABLE,EUR,FR,N
Central China Real Estate Ltd,CENCHI,2019/4/24,7.25,300000000,2023/4/24,B+,CALLABLE,USD,KY,N
HollyFrontier Corp,HFC,2020/9/28,4.5,400000000,2030/10/1,BBB-,CALLABLE,USD,US,N
Bank of America Corp,BAC,2015/3/17,6.1,1900000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Banco de Bogota SA,BANBOG,2017/8/3,4.375,600000000,2027/8/3,BBB-,CALLABLE,USD,CO,N
Citigroup Inc,C,2017/10/27,3.52,2250000000,2028/10/27,A-,CALLABLE,USD,US,N
DaFa Properties Group Ltd,DAFAPG,2020/7/30,12.375,360000000,2022/7/30,NR,AT MATURITY,USD,KY,N
Danske Bank A/S,DANBNK,2019/8/27,0.5,1109670000,2025/8/27,BBB+,CALLABLE,EUR,DK,N
Apple Inc,AAPL,2017/11/13,3,1500000000,2027/11/13,AA+,CALLABLE,USD,US,N
Rakuten Inc,RAKUTN,2019/11/27,3.546,800000000,2024/11/27,NR,AT MATURITY,USD,JP,N
Akelius Residential Property AB,AKFAST,2016/11/23,1.5,633432000,2022/1/23,NR,AT MATURITY,EUR,SE,N
Vale SA,VALEBZ,2012/7/10,3.75,919230000,2023/1/10,BBB-,AT MATURITY,EUR,BR,N
Credit Agricole SA,ACAFP,2019/2/27,6.875,1250000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,FR,N
Equinix Inc,EQIX,2020/6/22,2.15,1100000000,2030/7/15,BBB-,CALLABLE,USD,US,N
Teladoc Health Inc,TDOC,2020/5/19,1.25,1000000000,2027/6/1,#N/A N/A,CONVERTIBLE,USD,US,N
Cemex SAB de CV,CEMEX,2019/3/19,3.125,454156000,2026/3/19,BB-,CALLABLE,EUR,MX,N
Adevinta ASA,ADEBNO,2020/11/5,3,472132000,2027/11/15,BB,CALLABLE,EUR,NO,N
International Business Machines Corp,IBM,2019/5/15,3,3000000000,2024/5/15,A,AT MATURITY,USD,US,N
AXA SA,AXASA,2003/10/29,0.26,233550000,#N/A Field Not Applicable,BBB+,PERP/CALL,EUR,FR,N
MDC Holdings Inc,MDC,2021/1/11,2.5,350000000,2031/1/15,BB+,CALLABLE,USD,US,N
Ronshine China Holdings Ltd,RONXIN,2020/12/4,5.25,150000000,2021/12/3,#N/A N/A,AT MATURITY,USD,KY,N
Comcast Corp,CMCSA,2020/8/25,2.65,1250000000,2062/8/15,A-,CALLABLE,USD,US,N
Fantasia Holdings Group Co Ltd,FTHDGR,2019/7/18,12.25,350000000,2022/10/18,B,CALLABLE,USD,KY,N
GRENKE AG,GLJGR,2015/7/22,8.25,54517000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,DE,N
Country Garden Holdings Co Ltd,COGARD,2016/9/28,4.75,650000000,2023/9/28,BBB-,CALLABLE,USD,KY,N
Telecom Italia SpA/Milano,TITIM,2010/2/10,5.25,1717475000,2022/2/10,BB,AT MATURITY,EUR,IT,N
Lumen Technologies Inc,LUMN,2012/3/12,7.65,650000000,2042/3/15,B+,AT MATURITY,USD,US,N
Occidental Petroleum Corp,OXY,2020/12/22,5.5,750000000,2025/12/1,BB-,CALLABLE,USD,US,N
Philip Morris International Inc,PM,2019/8/1,0.8,830130000,2031/8/1,A,CALLABLE,EUR,US,N
Pfizer Inc,PFE,2020/5/28,1.7,1000000000,2030/5/28,A,CALLABLE,USD,US,N
JSW Steel Ltd,JSTLIN,2019/10/4,5.375,400000000,2025/4/4,BB-,AT MATURITY,USD,IN,N
Viatris Inc,VTRS,2020/6/22,2.7,1450000000,2030/6/22,BBB-,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2015/1/23,3.125,2500000000,2025/1/23,A,CALLABLE,USD,US,N
CVS Health Corp,CVS,2018/3/9,3.7,6000000000,2023/3/9,BBB,CALLABLE,USD,US,N
Yum! Brands Inc,YUM,2007/10/19,6.875,600000000,2037/11/15,B+,AT MATURITY,USD,US,N
Geopark Ltd,GEOPAR,2017/9/21,6.5,425000000,2024/9/21,B+,CALLABLE,USD,BM,N
Hess Corp,HES,2016/9/28,4.3,1000000000,2027/4/1,BB+,CALLABLE,USD,US,N
Comcast Corp,CMCSA,2020/5/28,1.95,1500000000,2031/1/15,A-,CALLABLE,USD,US,N
Staples Inc,SPLS,2019/4/16,7.5,2000000000,2026/4/15,B,CALLABLE,USD,US,N
Millicom International Cellular SA,TIGO,2017/9/20,5.125,500000000,2028/1/15,BB,CALLABLE,USD,LU,N
Nine Energy Service Inc,NINE,2018/10/25,8.75,400000000,2023/11/1,DDD+,CALLABLE,USD,US,N
ACEA SpA,ACEIM,2021/1/28,0,363753000,2025/9/28,BBB,CALLABLE,EUR,IT,Y
Citigroup Inc,C,2013/5/14,3.5,1250000000,2023/5/15,BBB+,AT MATURITY,USD,US,N
Banco Bilbao Vizcaya Argentaria SA,BBVASM,2020/6/4,0.75,1132900000,2025/6/4,A-,AT MATURITY,EUR,ES,N
Silgan Holdings Inc,SLGN,2020/7/22,2.25,578749227,2028/6/1,BB,CALLABLE,EUR,US,N
SGL Carbon SE,SGLGR,2018/9/20,3,187306533,2023/9/20,#N/A N/A,CONVERTIBLE,EUR,DE,N
CenterPoint Energy Inc,CNP,2018/8/22,6.125,800000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Eurofins Scientific SE,ERFFP,2015/4/29,4.875,334311000,#N/A Field Not Applicable,NR,PERP/CALL,EUR,LU,N
GameStop Corp,GME,2016/3/9,6.75,475000000,2021/3/15,CCC+,CALLABLE,USD,US,N
Apple Inc,AAPL,2017/5/11,3.2,2000000000,2027/5/11,AA+,CALLABLE,USD,US,N
Rexel SA,RXLFP,2019/3/12,2.75,677382000,2026/6/15,BB-,CALLABLE,EUR,FR,N
Symrise AG,SYMRIS,2020/7/1,1.375,563220000,2027/7/1,#N/A N/A,CALLABLE,EUR,DE,N
Coeur Mining Inc,CDE,2017/9/6,5.875,249865000,2024/6/1,B-,CALLABLE,USD,US,N
Credit Agricole SA,ACAFP,2020/4/22,1,1622355000,2026/4/22,A-,CALLABLE,EUR,FR,N
Anthem Inc,ANTM,2020/5/5,3.125,1000000000,2050/5/15,BBB+,CALLABLE,USD,US,N
Boeing Co/The,BA,2020/11/2,3.25,1100000000,2028/2/1,BBB-,CALLABLE,USD,US,N
